2026-01-29 18:53:56,553 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:56,875 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:56] "GET /api/health HTTP/1.1" 200 -
2026-01-29 18:53:56,887 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/health ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:56,890 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:56] "GET /api/groups?deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 18:53:56,914 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/ai ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:56,918 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:56] "GET /api/ai HTTP/1.1" 200 -
2026-01-29 18:53:57,016 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:57] "GET /api/counts?&deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 18:53:57,027 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:57,050 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:57,055 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:57] "GET /api/settings?scope=all HTTP/1.1" 200 -
